creator_handle,tier,platform,followers,avg_views,eng_rate,CPE,EMV,past_brand_fit_score,niche,sentiment_score,fake_follower_flag,brand,prev_eng_rate,prev_CPE,prev_EMV,prev_sentiment_score,last_campaign_date
@glossy.glow,micro,Instagram,85000,42000,6.2,0.08,12400,8.7,beauty,0.91,false,L'Oreal,5.1,0.10,9800,0.87,2025-03-15
@skindeep.sara,macro,Instagram,520000,180000,4.8,0.12,78400,9.1,beauty,0.88,false,L'Oreal,4.2,0.15,65000,0.84,2025-03-15
@thebeautylab,mega,YouTube,2100000,890000,3.2,0.18,310000,7.8,beauty,0.79,false,L'Oreal,3.5,0.16,295000,0.81,2025-03-15
@nanoglow.nina,nano,TikTok,12000,28000,9.4,0.04,3200,7.2,beauty,0.93,false,L'Oreal,8.1,0.05,2700,0.89,2025-04-01
@fitcheck.felix,micro,TikTok,92000,310000,8.1,0.06,18600,8.4,fashion,0.86,false,Nike,7.3,0.07,15200,0.83,2025-03-20
@runwithray,macro,Instagram,410000,95000,5.3,0.14,58300,8.9,fitness,0.90,false,Nike,4.8,0.13,51000,0.88,2025-03-20
@eliteathletemax,mega,YouTube,3200000,1200000,2.9,0.22,520000,6.5,fitness,0.72,true,Nike,3.1,0.20,490000,0.74,2025-02-10
@dailydribble,micro,Instagram,67000,31000,7.4,0.07,9800,9.2,fitness,0.94,false,Nike,6.9,0.08,8600,0.91,2025-04-05
@grwm.grace,nano,TikTok,18500,54000,11.2,0.03,4100,8.1,beauty,0.95,false,Glossier,10.4,0.04,3400,0.92,2025-04-01
@cleanbeautyclub,micro,Instagram,74000,38000,6.8,0.07,11200,9.4,beauty,0.92,false,Glossier,6.1,0.08,9400,0.89,2025-04-01
@theglossiergirl,macro,Instagram,380000,88000,4.9,0.13,52100,9.0,beauty,0.87,false,Glossier,4.4,0.14,46000,0.85,2025-03-10
@makeupminimalist,micro,YouTube,110000,62000,5.9,0.09,16800,8.8,beauty,0.89,false,Glossier,5.3,0.10,14200,0.86,2025-03-10
@urbanstyle.kai,micro,TikTok,88000,275000,7.9,0.06,17300,8.3,fashion,0.85,false,Nike,7.1,0.07,14800,0.82,2025-03-25
@sneakerheadtom,macro,YouTube,490000,210000,4.1,0.16,72500,7.6,fashion,0.80,false,Nike,3.8,0.17,67000,0.78,2025-02-15
@lifewithlayla,macro,Instagram,560000,140000,4.5,0.15,84000,8.2,lifestyle,0.83,false,L'Oreal,4.0,0.16,76000,0.80,2025-02-20
@nanobeauty.bea,nano,Instagram,9800,18000,12.1,0.03,1800,7.9,beauty,0.96,false,Glossier,11.2,0.03,1500,0.93,2025-04-10
@techfitpro,macro,YouTube,430000,198000,3.8,0.17,68000,7.4,fitness,0.77,false,Nike,3.5,0.18,61000,0.75,2025-02-28
@glossandgrit,micro,TikTok,56000,189000,8.8,0.05,9900,9.0,beauty,0.91,false,L'Oreal,8.0,0.06,8200,0.88,2025-03-30
@stylewithjess,nano,Instagram,15200,22000,10.3,0.04,2900,8.5,fashion,0.94,false,Nike,9.7,0.04,2400,0.91,2025-04-05
@beautyunfiltered,mega,TikTok,1800000,2400000,4.2,0.11,385000,8.1,beauty,0.84,false,L'Oreal,3.9,0.12,352000,0.82,2025-03-01
